condition,training_seed,epochs_completed,checkpoint_exists,checkpoint_sha256,best_epoch,best_validation_mae,initial_train_mse,final_train_mse,initial_lr,final_lr
mesh_backbone_control,57,500,True,c22361a5c25113bd776218c14726dc116fdb21be5aef9090b7884930714f163b,499,0.0340609561651945,0.2449689433909952,0.0016104304275359,0.001,1.52587890625e-08
mesh_backbone_control,58,500,True,2bedc30368ca71b6443f287d209c2d10f28640ca8310318ed74d1b9d8ed1580b,499,0.0380405535921454,0.1107675240375101,0.0018829788910807,0.001,6.25e-05
mesh_backbone_control,59,500,True,f8399b980a1508dcf3a555438df1357477702ced9a27768e86f82a20f3ec308a,499,0.0372184615582227,0.1370269145816564,0.0021590413103695,0.001,3.125e-05
mesh_backbone_control,60,500,True,13c9d46b56c88fe26cbe53f0e6107de2cb8b0cd369009f5878221c1a4627da99,499,0.0349516062065958,0.1061965931206941,0.0022388805446098,0.001,6.25e-05
mesh_backbone_residual,41,369,True,5372fc76ae6bd9e354627c8efcadcaef512e1ad2e61f1545a61d5e3b98526dee,318,0.034519319050014,0.1606196296401321,0.0016945534160186,0.001,1.5625e-05
mesh_backbone_residual,42,500,True,16acc5f47cd17318742a672f56bd0fd38db464afa7617d551bf61ed2b63e30c3,499,0.0495128888636827,0.2177012577885761,0.0026087565624038,0.001,3.125e-05
mesh_backbone_residual,43,500,True,4233780ce822d377ce2b0a19e3c923ab21e4bf9881cea9478702e1d6c6ebb3c6,499,0.0424297327175736,0.1295810329960659,0.001441148687445,0.001,1.5625e-05
mesh_backbone_residual,44,500,True,6d5d34359eca1d5c06a0adc2c8aa0221241989b6fc559bd618ebbe1ac02094e2,499,0.0379393784329295,0.1117255980614572,0.0016038387242588,0.001,1.5625e-05
mesh_backbone_residual,45,459,True,a45fd7beaa14a5d1edf899532e961a5ea07427233d30bb2bd94c3610969b0e78,408,0.0434985116124153,0.114548493293114,0.0032758379893493,0.001,3.90625e-06
mesh_backbone_residual,46,500,True,c7acfd1eed38d5919299c7d84137ff4b20c2f0cc5239c23c8c924b5c9a65322b,459,0.0407057402655482,0.1066117496229708,0.0015597831865306,0.001,1.953125e-06
mesh_backbone_residual,47,500,True,6e4383e979985be0a5a30d98e27efaf9c06359401e9eed7f6245f3f311a38717,499,0.045167332701385,0.097415704652667,0.0030103538272669,0.001,3.125e-05
mesh_backbone_residual,48,388,True,305d87ccb288d9a33339a4aa194dfccbc4d3c8e807ffbdaabbeb57fa7b55b66f,337,0.0384513974189758,0.0996833100682124,0.0019091621856205,0.001,4.8828125e-07
mesh_backbone_residual,49,500,True,7893ed0d690a14ae928be55c132a820d84e5f701aaba5a13bdec70f57f2d3dbd,496,0.0335880633443593,0.1535230305278673,0.0013573788921348,0.001,6.25e-05
mesh_backbone_residual,50,411,True,ce57a12e4b0865960fce1ea91cf8c5ca83584e17529a0d0d1257dfb9b3f92c3b,360,0.0344429349526762,0.1151243135333061,0.0017254540478461,0.001,9.765625e-07
mesh_backbone_residual,51,500,True,56a3f24e02fd99cc0aa77f3911f986afc2a94083110ef35d671f2e2d85add692,499,0.0335437329486012,0.1133073432603851,0.0017476231339969,0.001,6.25e-05
mesh_backbone_residual,52,410,True,03316fe3eb499a11772fa1ada87e84e2cbc4cd5ae0652e958035109e68f7b630,359,0.0324111398309469,0.1683473176788538,0.0016534161310119,0.001,3.90625e-06
mesh_backbone_residual,53,500,True,f813d33dca118dc05195caf3197fbaab1af9408f6a4683ec9263aa2123bdfd65,489,0.0351738113909959,0.133366106566973,0.0018878858129028,0.001,6.25e-05
mesh_backbone_residual,54,264,True,b1b64c168ddf7beb629666564d928dbe4903c26afc44a3ad40c9b9fc9f98d904,213,0.0372371111065149,0.1444991576485335,0.0020163899986073,0.001,1.5625e-05
mesh_backbone_residual,55,500,True,253dafdbacb9ad7229e088237d41be9e8f23dcdb03773aa12723fc15606e619d,499,0.0426582163199782,0.1450827369000762,0.0032172229402931,0.001,3.125e-05
mesh_backbone_residual,56,301,True,49a4dd55387f6ae14ca2f6f83140b6de81f9088d5ece1c816fab36a84eee15ea,250,0.0406136846169829,0.1171439414843917,0.0020973780061467,0.001,1.953125e-06
mesh_backbone_residual,57,471,True,48b9cf55331be282552df0f2afc5579ef67065ca21e73f9d9008bd1634dab030,420,0.0397379033267498,0.2426845892332494,0.0018438679471728,0.001,3.0517578125e-08
mesh_backbone_residual,58,344,True,c1dd134ce65cf2eceafacdc902e028d3988708f2b73be68beba4813ad26aa731,293,0.0392309820279479,0.110012711607851,0.0021900527615798,0.001,1.953125e-06
mesh_backbone_residual,59,500,True,6e79eaf612672f68e593380b49b860bb97762093ec01d2d417f8ee05bbfd9ccf,489,0.0424395605921745,0.1355477194767445,0.002574481240299,0.001,4.8828125e-07
mesh_backbone_residual,60,500,True,ec84f30a4e15c96eb81735757a59e8346b343c49878fc05cce674557cde766e5,496,0.0395202925428748,0.1036153700202703,0.0019472239422611,0.001,1.5625e-05
