training_seed,shape,mae_control,relative_l2_control,max_abs_error_control,p95_abs_error_control,p99_abs_error_control,mae_residual,relative_l2_residual,max_abs_error_residual,p95_abs_error_residual,p99_abs_error_residual,mae_improvement_control_minus_residual,relative_l2_improvement_control_minus_residual,max_abs_error_improvement_control_minus_residual,p95_abs_error_improvement_control_minus_residual,p99_abs_error_improvement_control_minus_residual
44,two_hole,0.07073587388975303,1.6926383411690715,0.5572770141889714,0.2288719637204965,0.38666017276354653,0.04882527139695428,1.0796485087036283,0.2930574120032906,0.15244941399880832,0.2218285862733375,0.021910602492798747,0.6129898324654433,0.26421960218568075,0.07642254972168819,0.16483158649020901
45,two_hole,0.05502459500942826,1.2374081946387392,0.39520211656229093,0.1751565169149656,0.27411584238023445,0.05708345978487258,1.1960502051790258,0.28575308567221325,0.16190010789680082,0.2230738586772608,-0.0020588647754443204,0.04135798945971336,0.10944903089007768,0.013256409018164772,0.051041983702973664
46,two_hole,0.04940970177041778,1.054626448639383,0.31831319722165513,0.14778729738615326,0.22209987511669138,0.041596390682094156,0.8626771735314978,0.25978438800997306,0.1308528026549227,0.1970560837214756,0.007813311088323623,0.1919492751078853,0.058528809211682076,0.01693449473123057,0.025043791395215786
47,two_hole,0.05608969466380568,1.295361584030872,0.45082180477919565,0.1811352826469347,0.3038950302132907,0.05166501316952418,1.0702229663597311,0.27162206147090723,0.15099430696946914,0.21279066147985057,0.004424681494281497,0.22513861767114096,0.17919974330828842,0.03014097567746557,0.0911043687334401
48,two_hole,0.05309544049210148,1.1787254853801874,0.35707635202811616,0.16262135292079144,0.2525722259535274,0.05012033169242589,1.055135845991057,0.2769864797595801,0.15018136204577823,0.21589314484528255,0.0029751087996755868,0.12358963938913048,0.08008987226853609,0.012439990875013213,0.03667908110824486
49,two_hole,0.056609757983923856,1.213220393587305,0.31920889184564993,0.16283316110372692,0.23770250306159532,0.04882078600557699,1.0449503681053676,0.29521825661265205,0.14818077665924834,0.22130193794674036,0.0077889719783468675,0.16827002548193737,0.02399063523299788,0.014652384444478583,0.016400565114854965
50,two_hole,0.05398422647730964,1.1922901415693294,0.3706276756516854,0.16541709653669429,0.26749595467334014,0.04688250057770055,1.009311390770332,0.2746205599611221,0.14430115752138473,0.211783266694282,0.007101725899609092,0.1829787507989975,0.0960071156905633,0.02111593901530956,0.05571268797905815
51,two_hole,0.05151576394111105,1.1025778629893213,0.3355179492213483,0.15123558230974887,0.23920164903219965,0.04103119786929444,0.8252435932184042,0.26534025896751795,0.123692703001913,0.1979390532454848,0.010484566071816609,0.277334269770917,0.07017769025383036,0.027542879307835874,0.041262595786714845
52,two_hole,0.056780522053999485,1.251802749362478,0.34282331710670405,0.17045747774050907,0.24991969126026484,0.04112498206629143,0.8944649083657197,0.26126511290332016,0.13505622072471252,0.20292070384486127,0.015655539987708057,0.35733784099675825,0.08155820420338389,0.03540125701579655,0.046998987415403565
53,two_hole,0.04981477538690461,1.088618334395631,0.34364871455421053,0.15448807483100122,0.23546406212197726,0.04659076902067461,0.980681996343366,0.2753134867675964,0.13857481892939696,0.2052566655798063,0.003224006366229999,0.1079363380522651,0.0683352277866141,0.01591325590160425,0.030207396542170972
