model,training_seed,shape,sample_id,sample_file,sample_sha256,inference_seconds,mae,relative_l2,max_abs_error,p95_abs_error,p99_abs_error,source_file
fine_control,57,slit_bridge,107,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0107.npz,8e962067b4a867a40f8b8f07d19dbcf42eb4d7a6b08ac522bd140e761933b129,0.0024913939996622,0.1255341271452845,1.0245777154172626,0.7680512368679047,0.5426502209156752,0.654085124284029,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0057/metrics.csv
fine_control,57,slit_bridge,108,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0108.npz,23bb0eb2ffb8522d891e10b78e9f4fcf6ea2c8b5136c119d1353dc41e81126a2,0.0023122149868868,0.0830835684497734,0.5362579342115291,0.5503821671009064,0.3580035418272018,0.4814894318580626,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0057/metrics.csv
fine_control,57,slit_bridge,109,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0109.npz,ee7d8642727cde846b418e0d6ef6f3d525513d8f7c13d4e21a694399a5887809,0.0029732239781878,0.1327609336505369,1.1209429756724916,0.8302631378173828,0.5791517067700624,0.6951231092214581,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0057/metrics.csv
fine_control,57,slit_bridge,110,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0110.npz,2cb9d93c491c746797690b373d3873b13231a0144087e5c6f98bc1674dcf9aa9,0.0030361679964698,0.135078474356649,1.0958589119252082,0.8304293155670166,0.5666143912822008,0.7097396194934844,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0057/metrics.csv
fine_control,57,slit_bridge,111,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0111.npz,20cb4a3d10bd1589b41836354fc8ffcea2f716f9c4d860e668becadedadd9f38,0.0029202880105003,0.066518772864151,0.5048456150322157,0.545879140496254,0.2736188881099224,0.4555406019091605,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0057/metrics.csv
fine_control,57,slit_bridge,112,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0112.npz,37a74f8306ed3c59b31377d7e4a65031205ca4f453cf06b54132466f7b6b4a27,0.0025842640025075,0.1393118858662709,1.1527795434527957,0.9047925174236298,0.6285165622830391,0.8089497104287147,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0057/metrics.csv
fine_control,57,slit_bridge,113,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0113.npz,ef235deec817e178c9aadff18419bfa34a077733d1176a3329f0534a76dc2a36,0.0020933249907102,0.1187369753225292,1.081271706787872,0.9084249138832092,0.5660946890711784,0.7128144204616536,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0057/metrics.csv
fine_control,57,slit_bridge,114,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0114.npz,fee8722c5da8ec155bbe8e819b2eefa2d11a554066c684e422d739ef76676fdc,0.002917019999586,0.0937430952665784,0.7292216121230024,0.6792613565921783,0.4173929123207927,0.5845794402062887,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0057/metrics.csv
fine_control,57,slit_bridge,115,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0115.npz,c0ff037ccc5a055bf9e6049f73b19eb3ef3c759d34e01dde7782629ee5155b1a,0.0022174420009832,0.1281244552751001,0.9905201865898704,0.8615065515041351,0.5466087348759174,0.6488748610019683,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0057/metrics.csv
fine_control,57,slit_bridge,116,private-source://routeA_experiments/data/final_ood_frozen_v1/slit_bridge/sample_0116.npz,89796e3463ade62e6165c2220b9206d7e09c13d435e41116a44b4b2b72d8a7e2,0.0022832099930383,0.1118027097616247,1.0418139439146097,0.8434296995401382,0.5239818841218948,0.6704418227076528,private-source://routeA_experiments/outputs_frozen_ood_20seed/fine_control/seed_0057/metrics.csv
