model,training_seed,shape,mae,relative_l2,max_abs_error,p95_abs_error,p99_abs_error
residual_v2,43,slit_bridge,0.06342606317450446,0.6449439450764958,0.7449733552429825,0.3201153003735453,0.590940647902898
residual_v2,43,three_hole_asymmetric,0.06075044586384008,0.7953582419034003,0.8120423052366823,0.2891073815275194,0.6263511745873833
residual_v2,44,slit_bridge,0.0682523409442499,0.6595429760407605,0.745926669370383,0.3199771923042135,0.5858974256813522
residual_v2,44,three_hole_asymmetric,0.06454079096063771,0.8124707305902941,0.8025691084749996,0.29892379829787386,0.6235252993428143
residual_v2,45,slit_bridge,0.06569423690564741,0.6797960919238943,0.774936503637582,0.3418276222261193,0.6316307524046857
residual_v2,45,three_hole_asymmetric,0.06046483699225904,0.8263011365182041,0.8446971902996302,0.3031247744892516,0.6616332696506282
residual_v2,46,slit_bridge,0.06786383852582842,0.6593443191553725,0.7501837711315602,0.3215864654979669,0.5989056773567568
residual_v2,46,three_hole_asymmetric,0.06324152346739054,0.8147233238993995,0.8194733762089164,0.28844136076892024,0.6389954537348816
residual_v2,47,slit_bridge,0.07160788025376802,0.7117999504406015,0.7888159216195345,0.3593807995522729,0.65117752299644
residual_v2,47,three_hole_asymmetric,0.06634398847062623,0.8630079092528178,0.8686405035294592,0.31009650260390115,0.6862242984920734
residual_v2,48,slit_bridge,0.06886938255445407,0.6664789411173889,0.7408339393418282,0.3243571867739956,0.5964624144900587
residual_v2,48,three_hole_asymmetric,0.06643494954166038,0.8303928505731015,0.8263450449611992,0.2890936172215697,0.6317134267122013
residual_v2,49,slit_bridge,0.06926277789872753,0.6723496297304875,0.7386257833708078,0.3292213123381225,0.5981818652953949
residual_v2,49,three_hole_asymmetric,0.06471176053155141,0.8358814041746423,0.8366087920032441,0.3067756904870293,0.6448480313718313
residual_v2,50,slit_bridge,0.06317855240733757,0.6475468826469453,0.7398434089496732,0.3228967110447411,0.5952018156778064
residual_v2,50,three_hole_asymmetric,0.05631561538413598,0.7741361227544792,0.8110403309762478,0.271457772927024,0.6255576898530121
residual_v2,51,slit_bridge,0.06905902108295967,0.6714846669034147,0.7414747832342983,0.32614012575679224,0.5987103081741367
residual_v2,51,three_hole_asymmetric,0.070112306963398,0.8542323583142017,0.8166106684133411,0.3110195479026879,0.63677118424233
residual_v2,52,slit_bridge,0.06455643440572494,0.6562213547232518,0.7464794950373471,0.3280699569301214,0.6007382052354511
residual_v2,52,three_hole_asymmetric,0.0607882613335437,0.8130598396676519,0.8283987843059003,0.2944155166509517,0.6443835520669812
residual_v2,53,slit_bridge,0.06663648669373683,0.6559237174236274,0.7386407248396426,0.3218718949095637,0.5840667764251115
residual_v2,53,three_hole_asymmetric,0.06475969404171876,0.8377574423536032,0.8319091628398746,0.31066964979814654,0.6396932345204981
residual_v2,54,slit_bridge,0.06951197681673013,0.68385274008549,0.7592037234455347,0.3379041043961479,0.6111263876650479
residual_v2,54,three_hole_asymmetric,0.062208528952799054,0.8266115371187044,0.834232036024332,0.3016510000069684,0.6531164132626722
residual_v2,55,slit_bridge,0.06709355602615033,0.6571787015321567,0.7347144389711321,0.326736963019066,0.5932570423474531
residual_v2,55,three_hole_asymmetric,0.0639681094414254,0.806585498273428,0.8052169689722359,0.29513585770117057,0.6211410098127085
residual_v2,56,slit_bridge,0.0690995803560364,0.666049782717952,0.7216670737974346,0.32194792390975635,0.5818342017177489
residual_v2,56,three_hole_asymmetric,0.06797731466334413,0.8405250417409771,0.7985980368964374,0.31470203495849997,0.6209399400297548
residual_v2,57,slit_bridge,0.07084847508715655,0.6851865946534902,0.7654997177422047,0.3399764845173195,0.6195346946492787
residual_v2,57,three_hole_asymmetric,0.06878178210177832,0.8528965391423367,0.8333854757249355,0.3156646513653504,0.6502407659776503
residual_v2,58,slit_bridge,0.07009610742697107,0.6751382787840405,0.7453049318306149,0.3268315393019657,0.6059590670778412
residual_v2,58,three_hole_asymmetric,0.06811891424337427,0.8326973885721307,0.8045319051016122,0.30213967346278875,0.6209459190741176
residual_v2,59,slit_bridge,0.07166215193817041,0.6993623531308851,0.7644540673773735,0.35505816655640954,0.6174763915725048
residual_v2,59,three_hole_asymmetric,0.06542238983649329,0.8444461037411728,0.823478185813874,0.32635037607753475,0.6309816518629081
residual_v2,60,slit_bridge,0.06964923708603638,0.6903371405989869,0.7670894145965577,0.338208945161241,0.6194681327836584
residual_v2,60,three_hole_asymmetric,0.06454585175965248,0.8376849840080047,0.8329008719325066,0.3027008361961634,0.6497629705951543
