condition,training_seed,shape,mae,relative_l2,max_abs_error,p95_abs_error,p99_abs_error
mesh_backbone_control,49,c_shape,0.0704962076327421,0.6725694437075301,0.381895276284049,0.20876387892140266,0.3023847176720218
rd_hddm_alpha001,49,c_shape,0.06200076432947275,0.5730987203587732,0.3456530170244878,0.19171289560250457,0.2793600485731077
mesh_backbone_control,50,c_shape,0.07377580051893136,0.7459266866817544,0.4729446617581789,0.23958605633365246,0.3633196189410631
rd_hddm_alpha001,50,c_shape,0.0618942854939269,0.5825849959183895,0.3428619685799981,0.1885631408907211,0.27472998198235227
mesh_backbone_control,51,c_shape,0.07164812858419306,0.6740039621038005,0.40988920095405773,0.2106638310773588,0.3150080067614374
rd_hddm_alpha001,51,c_shape,0.05466420781982726,0.5447251898462399,0.3608402908042626,0.18613696538860908,0.28042177478896
mesh_backbone_control,52,c_shape,0.06999046476579786,0.6862325674000457,0.41245766196023853,0.22357288596348968,0.3236108463900216
rd_hddm_alpha001,52,c_shape,0.06696847915519694,0.6478037254978524,0.3634481595982561,0.21255008921116847,0.29695483390983607
mesh_backbone_control,53,c_shape,0.06697796422396918,0.7140078739847443,0.4777288374273485,0.2140564900340661,0.34225945898755633
rd_hddm_alpha001,53,c_shape,0.059601638824604876,0.5688250581950954,0.3504768261187813,0.19069079783585172,0.2802812284268941
mesh_backbone_control,54,c_shape,0.08384187319706532,0.8408177428798134,0.48897663030377314,0.25377453899371966,0.3753968154759308
rd_hddm_alpha001,54,c_shape,0.06426653202665882,0.5924876894393164,0.36130780769280024,0.20432093594556755,0.2903716675624503
mesh_backbone_control,55,c_shape,0.08357056442565115,0.8512107327291325,0.4181408115454367,0.23155453579223742,0.3237944180748433
rd_hddm_alpha001,55,c_shape,0.062432082575164305,0.6057258895608165,0.3145918795669058,0.18035253479095242,0.25236505319727726
mesh_backbone_control,56,c_shape,0.07398464526567347,0.7748358497229471,0.4369792579944692,0.24012116061138739,0.3463229882629161
rd_hddm_alpha001,56,c_shape,0.0663264126941328,0.647793569881139,0.3621827080332764,0.20519709795004687,0.28877342231607683
mesh_backbone_control,57,c_shape,0.07875970769607839,0.8418765968606517,0.48388388133986154,0.24259693137356092,0.36824637320225606
rd_hddm_alpha001,57,c_shape,0.06153995319691487,0.6252354832438527,0.3655645296029252,0.19036247289527577,0.2834679906685771
mesh_backbone_control,58,c_shape,0.07986063562776749,0.8579893070326421,0.5539082170874963,0.2679199882674823,0.41353061338334596
rd_hddm_alpha001,58,c_shape,0.06267321528239657,0.5875736298094909,0.34056237439601317,0.1917709111722669,0.2719009235760256
mesh_backbone_control,59,c_shape,0.08856590020038721,0.8913937440070846,0.4472985908149622,0.2393060730192856,0.3471645919292555
rd_hddm_alpha001,59,c_shape,0.061673184857283625,0.6082256865563518,0.35548971102936777,0.1981864717412487,0.28451071672472567
mesh_backbone_control,60,c_shape,0.06123906456510208,0.584873293708389,0.40387908098525716,0.19546867806542245,0.29674598685260234
rd_hddm_alpha001,60,c_shape,0.056858758068632144,0.547521481636166,0.33584480221041757,0.17840776465553054,0.2607454126228502
mesh_backbone_control,41,two_hole,0.044859820016416044,0.9689540796642252,0.2958252554225055,0.1358912465397622,0.20484931386031088
rd_hddm_alpha001,41,two_hole,0.04643889403514931,0.9944478710922198,0.25849032760667795,0.13863930400276803,0.19848141964355576
mesh_backbone_control,42,two_hole,0.058852801805980084,1.2473753096018407,0.33966044777345816,0.16327133765756754,0.2430712680431499
rd_hddm_alpha001,42,two_hole,0.04963078230227018,1.0822152954903401,0.2871513119933752,0.14905068308208905,0.21582587475530846
mesh_backbone_control,43,two_hole,0.057248986137686135,1.2746816844462057,0.40064200232207325,0.17247259098785087,0.2716700932767947
rd_hddm_alpha001,43,two_hole,0.0528239001238311,1.122375476124519,0.2922259099440179,0.15375088132775214,0.2236734913577931
mesh_backbone_control,44,two_hole,0.07073587388975303,1.6926383411690715,0.5572770141889714,0.2288719637204965,0.38666017276354653
rd_hddm_alpha001,44,two_hole,0.05323196737016363,1.1468912856524869,0.2754013783408663,0.15831362128410925,0.21648380738485826
mesh_backbone_control,45,two_hole,0.05502459500942826,1.2374081946387392,0.39520211656229093,0.1751565169149656,0.27411584238023445
rd_hddm_alpha001,45,two_hole,0.0592661995925734,1.2502373531472186,0.26502774814947766,0.1665367330574379,0.21999948933445354
mesh_backbone_control,46,two_hole,0.04940970177041778,1.054626448639383,0.31831319722165513,0.14778729738615326,0.22209987511669138
rd_hddm_alpha001,46,two_hole,0.04665922137371223,0.9919696443216192,0.2672496609522295,0.14165149268297886,0.20633955427549547
mesh_backbone_control,47,two_hole,0.05608969466380568,1.295361584030872,0.45082180477919565,0.1811352826469347,0.3038950302132907
rd_hddm_alpha001,47,two_hole,0.053211373380981426,1.1809768445418332,0.287356118204666,0.1686782119341722,0.23368696278149875
mesh_backbone_control,48,two_hole,0.05309544049210148,1.1787254853801874,0.35707635202811616,0.16262135292079144,0.2525722259535274
rd_hddm_alpha001,48,two_hole,0.049826602199031414,1.0915224193525983,0.2892913283422331,0.15493783085404655,0.2248590398958419
mesh_backbone_control,49,two_hole,0.056609757983923856,1.213220393587305,0.31920889184564993,0.16283316110372692,0.23770250306159532
rd_hddm_alpha001,49,two_hole,0.04897992264246445,1.036348633637509,0.2814874032546504,0.1446907983690625,0.2130051003069876
mesh_backbone_control,50,two_hole,0.05398422647730964,1.1922901415693294,0.3706276756516854,0.16541709653669429,0.26749595467334014
rd_hddm_alpha001,50,two_hole,0.04401519378351011,0.9447198458734815,0.2764540470612792,0.1385797565936753,0.20926831663914963
mesh_backbone_control,51,two_hole,0.05151576394111105,1.1025778629893213,0.3355179492213483,0.15123558230974887,0.23920164903219965
rd_hddm_alpha001,51,two_hole,0.03909721817101122,0.8223868169327578,0.2755190569212891,0.12112743965345424,0.1973911465814935
mesh_backbone_control,52,two_hole,0.056780522053999485,1.251802749362478,0.34282331710670405,0.17045747774050907,0.24991969126026484
rd_hddm_alpha001,52,two_hole,0.04209069770766447,0.9257393068392114,0.27017734103562246,0.1379055725415018,0.20892642176922668
mesh_backbone_control,53,two_hole,0.04981477538690461,1.088618334395631,0.34364871455421053,0.15448807483100122,0.23546406212197726
rd_hddm_alpha001,53,two_hole,0.04710619859213991,0.9905791776630418,0.27818388818302364,0.1403563450666053,0.20779771479409678
mesh_backbone_control,54,two_hole,0.06401432991016655,1.4153575266577538,0.43091668837616454,0.1877402854397983,0.29992281174118374
rd_hddm_alpha001,54,two_hole,0.04947813756000007,1.0556256239881312,0.30263761295421315,0.14980227724282386,0.227083939476879
mesh_backbone_control,55,two_hole,0.06173529104007842,1.3742650968235315,0.36400425697055655,0.18371084800898635,0.27143067191903575
rd_hddm_alpha001,55,two_hole,0.053093610429253243,1.1427300194368064,0.2819919327367006,0.15607799975534023,0.21816525024563446
mesh_backbone_control,56,two_hole,0.05314514966456757,1.2411556341278969,0.3756295663446963,0.1738910119676981,0.269068671746363
rd_hddm_alpha001,56,two_hole,0.051340037961312944,1.134788425418656,0.29747809139845227,0.15737793454307727,0.227727321726309
mesh_backbone_control,57,two_hole,0.05758017988842971,1.3011369311437893,0.3957403784743292,0.178336583111627,0.2749729289573055
rd_hddm_alpha001,57,two_hole,0.04843578187806531,1.0842747400219523,0.31772829442219513,0.15207559461306155,0.2374904863144889
mesh_backbone_control,58,two_hole,0.0612016496697499,1.475199784744779,0.5164305086428113,0.19806949642410415,0.34280161738192094
rd_hddm_alpha001,58,two_hole,0.04981657253935414,1.0825137184275073,0.3016905587692872,0.152742763097533,0.2269789902259129
mesh_backbone_control,59,two_hole,0.06680010538323891,1.4283085952258796,0.3584845334718375,0.1864347653933853,0.26766770528793865
rd_hddm_alpha001,59,two_hole,0.048012271242060214,1.0324174634387073,0.28985912720722123,0.14341835591353713,0.21877181670862933
mesh_backbone_control,60,two_hole,0.048625939027545265,1.044440459107223,0.35161882193595373,0.14620539537973687,0.2358145041268118
rd_hddm_alpha001,60,two_hole,0.043960825529566254,0.9755583019308304,0.2958930699957727,0.140923443970083,0.2186296075925427
