mesh_id,dataset,split,seed,sample_index,sample_seed,shape,requested_interior_nodes,num_nodes,num_triangles,fine_directed_edges,fine_undirected_edges,boundary_nodes,source_x,source_y,source_sigma,target_max,target_l2_norm,mesh_generation_seconds,labels_npz,labels_npz_sha256,triangle_area_min,triangle_area_mean,triangle_area_max,triangle_area_cv,minimum_angle_deg,aspect_ratio_mean,aspect_ratio_max,method,partition_seconds,parmetis_library_edgecut,repair_seconds,repair_event_count,moved_nodes_total,moved_unique_nodes,moved_fraction,nonempty_parts,min_part_size,mean_part_size,max_part_size,part_size_sd,part_size_cv,imbalance_ratio,edgecut,disconnected_part_count,extra_component_count,disconnected_parts_json,coarse_directed_edges,coarse_undirected_edges
development_train_seed45_sample037_wavy,development,train,45,37,82,wavy,652,775,1362,4272,2136,186,0.7488193761926325,0.6773939744632487,0.06914961595683607,0.5437123402233226,3.735909586252123,0.059141866862773895,paper_partition_evidence/mesh_archives/development_train_seed45_sample037_wavy.npz,e717a698b6ed68a4e9e881248826c617fef988e9d953e65ad0eb96417394baef,1.9085916550839674e-06,0.0005321506096805092,0.0035411581569679976,0.8972264961173991,0.6024190270621534,3.3804494744492484,104.92938950856076,bfs_connected,0.005925470031797886,,0.0,0,0,0,0.0,16,25,48.4375,71,12.093903422799439,0.24968058679327873,1.4658064516129032,432,0,0,{},66,33
development_train_seed45_sample037_wavy,development,train,45,37,82,wavy,652,775,1362,4272,2136,186,0.7488193761926325,0.6773939744632487,0.06914961595683607,0.5437123402233226,3.735909586252123,0.059141866862773895,paper_partition_evidence/mesh_archives/development_train_seed45_sample037_wavy.npz,e717a698b6ed68a4e9e881248826c617fef988e9d953e65ad0eb96417394baef,1.9085916550839674e-06,0.0005321506096805092,0.0035411581569679976,0.8972264961173991,0.6024190270621534,3.3804494744492484,104.92938950856076,parmetis_raw,0.43851829692721367,285,0.0,0,0,0,0.0,16,47,48.4375,49,0.8139410298049853,0.01680394384113518,1.0116129032258065,285,0,0,{},66,33
development_train_seed45_sample037_wavy,development,train,45,37,82,wavy,652,775,1362,4272,2136,186,0.7488193761926325,0.6773939744632487,0.06914961595683607,0.5437123402233226,3.735909586252123,0.059141866862773895,paper_partition_evidence/mesh_archives/development_train_seed45_sample037_wavy.npz,e717a698b6ed68a4e9e881248826c617fef988e9d953e65ad0eb96417394baef,1.9085916550839674e-06,0.0005321506096805092,0.0035411581569679976,0.8972264961173991,0.6024190270621534,3.3804494744492484,104.92938950856076,parmetis_repaired,0.4422077410854399,,0.0036894441582262516,0,0,0,0.0,16,47,48.4375,49,0.8139410298049853,0.01680394384113518,1.0116129032258065,285,0,0,{},66,33
development_train_seed45_sample038_rectangle,development,train,45,38,83,rectangle,738,894,1630,5046,2523,156,0.40820715992550083,0.2723024298381226,0.0958910599396765,1.3150613433435332,12.616624073362392,0.0713377008214593,paper_partition_evidence/mesh_archives/development_train_seed45_sample038_rectangle.npz,1001822d70d4ec4c0ace1bb1c7a2fed3503484327f835cdfe32363cc9b28fbdf,1.2937448697243858e-06,0.0006134969325153375,0.004488546247004757,0.939309365734441,0.2528815318776959,3.528867774208446,254.09267669595482,bfs_connected,0.006979253143072128,,0.0,0,0,0,0.0,16,25,55.875,73,13.793114224133722,0.24685663040955208,1.3064876957494407,463,0,0,{},66,33
development_train_seed45_sample038_rectangle,development,train,45,38,83,rectangle,738,894,1630,5046,2523,156,0.40820715992550083,0.2723024298381226,0.0958910599396765,1.3150613433435332,12.616624073362392,0.0713377008214593,paper_partition_evidence/mesh_archives/development_train_seed45_sample038_rectangle.npz,1001822d70d4ec4c0ace1bb1c7a2fed3503484327f835cdfe32363cc9b28fbdf,1.2937448697243858e-06,0.0006134969325153375,0.004488546247004757,0.939309365734441,0.2528815318776959,3.528867774208446,254.09267669595482,parmetis_raw,0.44100528582930565,318,0.0,0,0,0,0.0,16,54,55.875,57,1.0878112581387147,0.019468657863780128,1.0201342281879195,318,0,0,{},66,33
development_train_seed45_sample038_rectangle,development,train,45,38,83,rectangle,738,894,1630,5046,2523,156,0.40820715992550083,0.2723024298381226,0.0958910599396765,1.3150613433435332,12.616624073362392,0.0713377008214593,paper_partition_evidence/mesh_archives/development_train_seed45_sample038_rectangle.npz,1001822d70d4ec4c0ace1bb1c7a2fed3503484327f835cdfe32363cc9b28fbdf,1.2937448697243858e-06,0.0006134969325153375,0.004488546247004757,0.939309365734441,0.2528815318776959,3.528867774208446,254.09267669595482,parmetis_repaired,0.4458211809396744,,0.004815895110368729,0,0,0,0.0,16,54,55.875,57,1.0878112581387147,0.019468657863780128,1.0201342281879195,318,0,0,{},66,33
development_train_seed45_sample039_wavy,development,train,45,39,84,wavy,418,536,895,2860,1430,175,0.6160491194639578,0.7001018313659175,0.10370378203807853,1.0840390657075205,7.8381573850858075,0.04289251193404198,paper_partition_evidence/mesh_archives/development_train_seed45_sample039_wavy.npz,c13f3b35786634a6b937dbc1e4ffa08483874a9c4a1e69e50f7ff7707aec5260,3.5698324531447164e-06,0.0007961339919388883,0.005094967623839411,0.9303461281077836,1.2251710203325585,3.4277765494536165,47.25031936792269,bfs_connected,0.004300269763916731,,0.0,0,0,0,0.0,16,20,33.5,46,9.062744249582096,0.2705296790920029,1.373134328358209,313,0,0,{},64,32
development_train_seed45_sample039_wavy,development,train,45,39,84,wavy,418,536,895,2860,1430,175,0.6160491194639578,0.7001018313659175,0.10370378203807853,1.0840390657075205,7.8381573850858075,0.04289251193404198,paper_partition_evidence/mesh_archives/development_train_seed45_sample039_wavy.npz,c13f3b35786634a6b937dbc1e4ffa08483874a9c4a1e69e50f7ff7707aec5260,3.5698324531447164e-06,0.0007961339919388883,0.005094967623839411,0.9303461281077836,1.2251710203325585,3.4277765494536165,47.25031936792269,parmetis_raw,0.4425780992023647,228,0.0,0,0,0,0.0,16,33,33.5,34,0.5163977794943222,0.015414859089382752,1.0149253731343284,228,1,1,"{""3"": 2}",68,34
development_train_seed45_sample039_wavy,development,train,45,39,84,wavy,418,536,895,2860,1430,175,0.6160491194639578,0.7001018313659175,0.10370378203807853,1.0840390657075205,7.8381573850858075,0.04289251193404198,paper_partition_evidence/mesh_archives/development_train_seed45_sample039_wavy.npz,c13f3b35786634a6b937dbc1e4ffa08483874a9c4a1e69e50f7ff7707aec5260,3.5698324531447164e-06,0.0007961339919388883,0.005094967623839411,0.9303461281077836,1.2251710203325585,3.4277765494536165,47.25031936792269,parmetis_repaired,0.44543642830103636,,0.0028583290986716747,1,15,15,0.027985074626865673,16,19,33.5,49,5.501514942874069,0.16422432665295728,1.462686567164179,224,0,0,{},66,33
development_validation_seed45_sample000_rectangle,development,validation,45,0,10045,rectangle,571,727,1296,4044,2022,156,0.595629094550784,0.7185423170501357,0.10972349724037479,1.5854533172229925,12.821341571159184,0.09644853603094816,paper_partition_evidence/mesh_archives/development_validation_seed45_sample000_rectangle.npz,38631ceff1d19e7d42b98f76b82a81e8516e7b914284f2dccfb02f201ee9e43b,4.563733393795399e-06,0.0007716049382716049,0.0062306682212143975,0.9235787074850258,1.3977442405064133,3.2730872482853157,44.623020345991385,bfs_connected,0.005224004853516817,,0.0,0,0,0,0.0,16,19,45.4375,61,11.644562393380584,0.2562764763329977,1.342503438789546,413,0,0,{},64,32
development_validation_seed45_sample000_rectangle,development,validation,45,0,10045,rectangle,571,727,1296,4044,2022,156,0.595629094550784,0.7185423170501357,0.10972349724037479,1.5854533172229925,12.821341571159184,0.09644853603094816,paper_partition_evidence/mesh_archives/development_validation_seed45_sample000_rectangle.npz,38631ceff1d19e7d42b98f76b82a81e8516e7b914284f2dccfb02f201ee9e43b,4.563733393795399e-06,0.0007716049382716049,0.0062306682212143975,0.9235787074850258,1.3977442405064133,3.2730872482853157,44.623020345991385,parmetis_raw,0.4453049683943391,266,0.0,0,0,0,0.0,16,45,45.4375,46,0.51234753829798,0.01127587429541634,1.0123796423658873,266,0,0,{},66,33
development_validation_seed45_sample000_rectangle,development,validation,45,0,10045,rectangle,571,727,1296,4044,2022,156,0.595629094550784,0.7185423170501357,0.10972349724037479,1.5854533172229925,12.821341571159184,0.09644853603094816,paper_partition_evidence/mesh_archives/development_validation_seed45_sample000_rectangle.npz,38631ceff1d19e7d42b98f76b82a81e8516e7b914284f2dccfb02f201ee9e43b,4.563733393795399e-06,0.0007716049382716049,0.0062306682212143975,0.9235787074850258,1.3977442405064133,3.2730872482853157,44.623020345991385,parmetis_repaired,0.44989701360464096,,0.004592045210301876,0,0,0,0.0,16,45,45.4375,46,0.51234753829798,0.01127587429541634,1.0123796423658873,266,0,0,{},66,33
development_validation_seed45_sample001_wavy,development,validation,45,1,10046,wavy,422,543,903,2890,1445,180,0.5028380710328122,0.2792634224820468,0.11974560894826247,1.3090942632675124,10.070929116281794,0.0500388341024518,paper_partition_evidence/mesh_archives/development_validation_seed45_sample001_wavy.npz,29a60353e2e5c67448321e4671a281bfb0b9307a244d7e0d5e486ce8f12c5bf1,3.1911045553545044e-06,0.0007995890052231713,0.004072511563541191,0.8487983002608332,1.5476433895867623,3.074381151895683,37.39614135302467,bfs_connected,0.004352089948952198,,0.0,0,0,0,0.0,16,23,33.9375,46,7.540722777028738,0.2221944096362059,1.3554327808471456,296,0,0,{},62,31
development_validation_seed45_sample001_wavy,development,validation,45,1,10046,wavy,422,543,903,2890,1445,180,0.5028380710328122,0.2792634224820468,0.11974560894826247,1.3090942632675124,10.070929116281794,0.0500388341024518,paper_partition_evidence/mesh_archives/development_validation_seed45_sample001_wavy.npz,29a60353e2e5c67448321e4671a281bfb0b9307a244d7e0d5e486ce8f12c5bf1,3.1911045553545044e-06,0.0007995890052231713,0.004072511563541191,0.8487983002608332,1.5476433895867623,3.074381151895683,37.39614135302467,parmetis_raw,0.43829156924039125,228,0.0,0,0,0,0.0,16,33,33.9375,34,0.25,0.007366482504604052,1.0018416206261511,228,0,0,{},62,31
development_validation_seed45_sample001_wavy,development,validation,45,1,10046,wavy,422,543,903,2890,1445,180,0.5028380710328122,0.2792634224820468,0.11974560894826247,1.3090942632675124,10.070929116281794,0.0500388341024518,paper_partition_evidence/mesh_archives/development_validation_seed45_sample001_wavy.npz,29a60353e2e5c67448321e4671a281bfb0b9307a244d7e0d5e486ce8f12c5bf1,3.1911045553545044e-06,0.0007995890052231713,0.004072511563541191,0.8487983002608332,1.5476433895867623,3.074381151895683,37.39614135302467,parmetis_repaired,0.44072401942685246,,0.0024324501864612103,0,0,0,0.0,16,33,33.9375,34,0.25,0.007366482504604052,1.0018416206261511,228,0,0,{},62,31
