dataset,split,shape,method,meshes,num_nodes_mean,num_nodes_sd,num_nodes_min,num_nodes_max,num_triangles_mean,num_triangles_sd,num_triangles_min,num_triangles_max,fine_undirected_edges_mean,fine_undirected_edges_sd,fine_undirected_edges_min,fine_undirected_edges_max,imbalance_ratio_mean,imbalance_ratio_sd,imbalance_ratio_min,imbalance_ratio_max,part_size_cv_mean,part_size_cv_sd,part_size_cv_min,part_size_cv_max,edgecut_mean,edgecut_sd,edgecut_min,edgecut_max,disconnected_part_count_mean,disconnected_part_count_sd,disconnected_part_count_min,disconnected_part_count_max,extra_component_count_mean,extra_component_count_sd,extra_component_count_min,extra_component_count_max,coarse_undirected_edges_mean,coarse_undirected_edges_sd,coarse_undirected_edges_min,coarse_undirected_edges_max,partition_seconds_mean,partition_seconds_sd,partition_seconds_min,partition_seconds_max,repair_seconds_mean,repair_seconds_sd,repair_seconds_min,repair_seconds_max,moved_unique_nodes_mean,moved_unique_nodes_sd,moved_unique_nodes_min,moved_unique_nodes_max,moved_fraction_mean,moved_fraction_sd,moved_fraction_min,moved_fraction_max,minimum_angle_deg_mean,minimum_angle_deg_sd,minimum_angle_deg_min,minimum_angle_deg_max,aspect_ratio_mean_mean,aspect_ratio_mean_sd,aspect_ratio_mean_min,aspect_ratio_mean_max,aspect_ratio_max_mean,aspect_ratio_max_sd,aspect_ratio_max_min,aspect_ratio_max_max,triangle_area_cv_mean,triangle_area_cv_sd,triangle_area_cv_min,triangle_area_cv_max,repair_sample_rate
development,train,wavy,parmetis_raw,100,748.92,117.01676302258079,513.0,916.0,1313.61,228.73428168108433,859.0,1640.0,2061.53,345.7270323667082,1371.0,2555.0,1.0181857812389261,0.006473292375952368,1.003690036900369,1.035667107001321,0.01589952897043876,0.0035715700990710795,0.007048968523102558,0.025267690131824637,280.39,25.987524201843737,217.0,321.0,0.17,0.42770234150550657,0.0,2.0,0.17,0.42770234150550657,0.0,2.0,32.63,0.9282872247947679,31.0,35.0,0.44438485727645455,0.0041042702528794345,0.43593322904780507,0.4524683910422027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9379856791521856,0.6015131703800686,0.05413836080406451,2.6411090113616464,3.3003891570231754,0.2025847141688742,2.9652318642733464,3.9766996796022096,120.15796213422547,135.51912877469772,22.29784186955931,1089.9636478918485,0.9055486841673484,0.030797051281160257,0.812921928174346,0.9888089117555071,
development,train,wavy,parmetis_repaired,100,748.92,117.01676302258079,513.0,916.0,1313.61,228.73428168108433,859.0,1640.0,2061.53,345.7270323667082,1371.0,2555.0,1.0574301472484686,0.11412166467880312,1.003690036900369,1.48471615720524,0.029953220519196647,0.0415883686485512,0.007048968523102558,0.20199408190957677,279.37,26.191854312423786,217.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.46,0.8694593699303009,31.0,34.0,0.44852268307469784,0.004854571858016672,0.43865302205085754,0.46219357708469033,0.004137825798243284,0.001572212910346593,0.0023394590243697166,0.011053845752030611,2.08,6.1737142365635505,0.0,27.0,0.0029048200192705676,0.008539525490270141,0.0,0.048736462093862815,0.9379856791521856,0.6015131703800686,0.05413836080406451,2.6411090113616464,3.3003891570231754,0.2025847141688742,2.9652318642733464,3.9766996796022096,120.15796213422547,135.51912877469772,22.29784186955931,1089.9636478918485,0.9055486841673484,0.030797051281160257,0.812921928174346,0.9888089117555071,0.15
development,validation,rectangle,bfs_connected,25,790.92,110.63186701850421,583.0,953.0,1423.84,221.26373403700842,1008.0,1748.0,2213.76,331.89560105551266,1590.0,2700.0,1.3808098503570891,0.10868437796857405,1.2057416267942584,1.5691318327974277,0.24349232640609916,0.05075905413723641,0.15414324442361793,0.32642866169480045,417.6,43.22036556994862,332.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.08,0.9092121131323905,32.0,35.0,0.0059962734952569005,0.0008856302510006806,0.004370891954749823,0.007278170902282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6882916786740283,0.3886210712382006,0.06803583911083222,1.44607412952129,3.399197807870395,0.21101407097320507,3.181186394535469,4.038841140142761,167.06650432298878,190.97704160871785,43.12702418952356,1039.5628537374253,0.9154021887266615,0.03412038550582457,0.8745952760477534,1.0106404392920016,
development,validation,rectangle,parmetis_raw,25,790.92,110.63186701850421,583.0,953.0,1423.84,221.26373403700842,1008.0,1748.0,2213.76,331.89560105551266,1590.0,2700.0,1.0194347301626023,0.005740034178088741,1.010752688172043,1.0293453724604966,0.016892939330988045,0.003758074235382199,0.01102003327926915,0.02525348827952373,286.04,25.123826672437193,242.0,329.0,0.12,0.33166247903553997,0.0,1.0,0.12,0.33166247903553997,0.0,1.0,32.92,0.5715476066494082,32.0,34.0,0.4466731200926006,0.004523276063769048,0.44053482124581933,0.4573020562529564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6882916786740283,0.3886210712382006,0.06803583911083222,1.44607412952129,3.399197807870395,0.21101407097320507,3.181186394535469,4.038841140142761,167.06650432298878,190.97704160871785,43.12702418952356,1039.5628537374253,0.9154021887266615,0.03412038550582457,0.8745952760477534,1.0106404392920016,
development,validation,rectangle,parmetis_repaired,25,790.92,110.63186701850421,583.0,953.0,1423.84,221.26373403700842,1008.0,1748.0,2213.76,331.89560105551266,1590.0,2700.0,1.0711395437729374,0.14166175796956904,1.010752688172043,1.463071512309496,0.034883037320852385,0.048461918221550215,0.01127587429541634,0.16868804335776896,284.92,25.317846143251074,242.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,0.5773502691896257,32.0,34.0,0.45300604540854694,0.012227600356392483,0.44316131714731455,0.5053793843835592,0.006332925315946341,0.010302702488807162,0.0026264959014952183,0.05514648696407676,2.52,7.12460525222275,0.0,24.0,0.003279570058329019,0.00908280650841943,0.0,0.028811524609843937,0.6882916786740283,0.3886210712382006,0.06803583911083222,1.44607412952129,3.399197807870395,0.21101407097320507,3.181186394535469,4.038841140142761,167.06650432298878,190.97704160871785,43.12702418952356,1039.5628537374253,0.9154021887266615,0.03412038550582457,0.8745952760477534,1.0106404392920016,0.12
development,validation,wavy,bfs_connected,25,745.6,136.5527980916783,534.0,924.0,1304.68,265.86834461188994,893.0,1656.0,2049.28,402.4049080217586,1426.0,2579.0,1.2870434250841376,0.0831038837085179,1.1566265060240963,1.4683544303797469,0.1975964271065699,0.05326994739934074,0.11807479536004183,0.3326650353489793,388.0,54.954526656136345,294.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.84,0.9865765724632495,31.0,34.0,0.0057383797690272334,0.0009867829649332744,0.004198058973997831,0.0072797732427716255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.242117248626874,0.7147349021823024,0.1514506191382945,2.825658931200245,3.203957196857376,0.16939416933478982,3.0176954671432727,3.6214107016689874,87.35047479712298,91.64003480309889,20.296971029257588,422.632429590183,0.8920162852850045,0.025950834976309435,0.8487983002608332,0.9449369396321177,
development,validation,wavy,parmetis_raw,25,745.6,136.5527980916783,534.0,924.0,1304.68,265.86834461188994,893.0,1656.0,2049.28,402.4049080217586,1426.0,2579.0,1.0174576595025013,0.007250459767290075,1.0018416206261511,1.0293706293706293,0.015867805897251726,0.005052344109653005,0.007366482504604052,0.02671817353683737,277.56,29.61007711348734,228.0,323.0,0.04,0.2,0.0,1.0,0.04,0.2,0.0,1.0,32.76,0.9695359714832658,31.0,35.0,0.44394294772297144,0.0038868273356907745,0.43409193493425846,0.45016924710944295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.242117248626874,0.7147349021823024,0.1514506191382945,2.825658931200245,3.203957196857376,0.16939416933478982,3.0176954671432727,3.6214107016689874,87.35047479712298,91.64003480309889,20.296971029257588,422.632429590183,0.8920162852850045,0.025950834976309435,0.8487983002608332,0.9449369396321177,
development,validation,wavy,parmetis_repaired,25,745.6,136.5527980916783,534.0,924.0,1304.68,265.86834461188994,893.0,1656.0,2049.28,402.4049080217586,1426.0,2579.0,1.0217338287675348,0.022205250507897054,1.0018416206261511,1.1224944320712695,0.017004803070501746,0.007788869506902767,0.007366482504604052,0.04548376421332334,277.36,29.419211410233277,228.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.72,0.8906926143924926,31.0,34.0,0.44783904010429976,0.004228657260805844,0.4376687635667622,0.4545155931264162,0.003896092381328344,0.0013158285210027746,0.002343593630939722,0.007792340125888586,0.24,1.2000000000000002,0.0,6.0,0.00026726057906458796,0.0013363028953229399,0.0,0.0066815144766146995,1.242117248626874,0.7147349021823024,0.1514506191382945,2.825658931200245,3.203957196857376,0.16939416933478982,3.0176954671432727,3.6214107016689874,87.35047479712298,91.64003480309889,20.296971029257588,422.632429590183,0.8920162852850045,0.025950834976309435,0.8487983002608332,0.9449369396321177,0.04
final_ood,test,c_shape,bfs_connected,50,1202.62,124.8793523888606,1006.0,1476.0,2318.18,248.66768989959272,1922.0,2863.0,3519.8,373.54424921613906,2927.0,4338.0,1.2887686227814785,0.1693266582066697,1.112807463952502,1.8138138138138138,0.18568312009689208,0.06771780847292182,0.09868244348107305,0.3642902817952905,573.2,46.253074911572206,497.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.92,1.006914867811777,30.0,34.0,0.009415263943374157,0.0009824720813851556,0.00772374402731657,0.011414875742048025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15072545388748917,0.15799822219072762,0.00021784114473632346,0.5326101813446134,9.494643261913165,20.229036971240376,3.621278892878284,143.69376939398705,10936.746773573826,44819.847031230296,107.70077893272597,314411.38487911696,0.8965364016254708,0.02421821323114606,0.845786743850618,0.9509415153048241,
final_ood,test,c_shape,parmetis_raw,50,1202.62,124.8793523888606,1006.0,1476.0,2318.18,248.66768989959272,1922.0,2863.0,3519.8,373.54424921613906,2927.0,4338.0,1.021954287044892,0.005082682408385834,1.0069071373752878,1.0330514988470407,0.015112683103022207,0.0030498170454845916,0.006291297477181642,0.023621361455584165,356.32,19.65772424389404,313.0,401.0,0.02,0.1414213562373095,0.0,1.0,0.02,0.1414213562373095,0.0,1.0,27.88,1.6615704398341384,23.0,31.0,0.44839014060795307,0.005890515787327451,0.43701562006026506,0.4694540239870548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15072545388748917,0.15799822219072762,0.00021784114473632346,0.5326101813446134,9.494643261913165,20.229036971240376,3.621278892878284,143.69376939398705,10936.746773573826,44819.847031230296,107.70077893272597,314411.38487911696,0.8965364016254708,0.02421821323114606,0.845786743850618,0.9509415153048241,
final_ood,test,c_shape,parmetis_repaired,50,1202.62,124.8793523888606,1006.0,1476.0,2318.18,248.66768989959272,1922.0,2863.0,3519.8,373.54424921613906,2927.0,4338.0,1.0252971170543888,0.023619499483287277,1.0069071373752878,1.1851851851851851,0.016094436076382446,0.007808084239657435,0.006291297477181642,0.06593365651308952,356.16,19.866246628440933,313.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.84,1.6081425462251757,23.0,30.0,0.45624968281947076,0.009448959291615634,0.44254362117499113,0.4913217560388148,0.007859542211517691,0.005911391922531434,0.004686108324676752,0.04241225402802229,0.22,1.5556349186104044,0.0,11.0,0.00020892687559354226,0.0014773361050431193,0.0,0.010446343779677113,0.15072545388748917,0.15799822219072762,0.00021784114473632346,0.5326101813446134,9.494643261913165,20.229036971240376,3.621278892878284,143.69376939398705,10936.746773573826,44819.847031230296,107.70077893272597,314411.38487911696,0.8965364016254708,0.02421821323114606,0.845786743850618,0.9509415153048241,0.02
final_ood,test,two_hole,bfs_connected,50,1404.06,140.9992632778553,1178.0,1628.0,2510.34,276.77078190135194,2057.0,2956.0,3915.4,417.69913984657836,3236.0,4585.0,1.2982068764552925,0.08911093915277873,1.1290092658588737,1.4634146341463414,0.23274025386195457,0.05794131646028372,0.11625888992522446,0.34140251929278204,536.64,42.71297656856683,444.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,1.324802642213672,27.0,33.0,0.012785936137661338,0.00890564335862364,0.008662838023155928,0.04788759024813771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5560340356246474,0.4307767840571685,0.02442909627260291,1.7548699024705903,3.4182415857326367,0.2987125517987232,3.0811444491414037,4.6339037438743045,381.8201588613827,601.6731061655394,37.86815610708088,3708.0434879577924,0.8955907266981348,0.02153492711811267,0.8637573922659345,0.9478753500395499,
final_ood,test,two_hole,parmetis_raw,50,1404.06,140.9992632778553,1178.0,1628.0,2510.34,276.77078190135194,2057.0,2956.0,3915.4,417.69913984657836,3236.0,4585.0,1.020507608127518,0.006009481139570512,1.0080775444264944,1.029810298102981,0.013103356479060307,0.004117282667312362,0.006462035541195477,0.02610643811120281,353.68,19.424831572825877,324.0,391.0,0.06,0.23989793748209523,0.0,1.0,0.06,0.23989793748209523,0.0,1.0,28.56,1.6182631152578624,26.0,32.0,0.4501097451429814,0.005488728509434534,0.441033449023962,0.46738334419205785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5560340356246474,0.4307767840571685,0.02442909627260291,1.7548699024705903,3.4182415857326367,0.2987125517987232,3.0811444491414037,4.6339037438743045,381.8201588613827,601.6731061655394,37.86815610708088,3708.0434879577924,0.8955907266981348,0.02153492711811267,0.8637573922659345,0.9478753500395499,
final_ood,test,two_hole,parmetis_repaired,50,1404.06,140.9992632778553,1178.0,1628.0,2510.34,276.77078190135194,2057.0,2956.0,3915.4,417.69913984657836,3236.0,4585.0,1.0419356233322206,0.09037662450562907,1.0080775444264944,1.5136733185513673,0.020643016921635744,0.032081623204731,0.006462035541195477,0.18426497848484163,352.96,19.48935868726358,324.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.52,1.6442850937072182,26.0,32.0,0.460160552226007,0.011476770201987539,0.44659090088680387,0.5088852914050221,0.010050807083025574,0.00912038955386128,0.005418576765805483,0.05543624563142657,2.04,8.297922041335507,0.0,42.0,0.0014405044365865826,0.005890801259647045,0.0,0.031042128603104215,0.5560340356246474,0.4307767840571685,0.02442909627260291,1.7548699024705903,3.4182415857326367,0.2987125517987232,3.0811444491414037,4.6339037438743045,381.8201588613827,601.6731061655394,37.86815610708088,3708.0434879577924,0.8955907266981348,0.02153492711811267,0.8637573922659345,0.9478753500395499,0.06
