dataset,seed,shape,method,meshes,num_nodes_mean,num_nodes_sd,num_nodes_min,num_nodes_max,num_triangles_mean,num_triangles_sd,num_triangles_min,num_triangles_max,fine_undirected_edges_mean,fine_undirected_edges_sd,fine_undirected_edges_min,fine_undirected_edges_max,imbalance_ratio_mean,imbalance_ratio_sd,imbalance_ratio_min,imbalance_ratio_max,part_size_cv_mean,part_size_cv_sd,part_size_cv_min,part_size_cv_max,edgecut_mean,edgecut_sd,edgecut_min,edgecut_max,disconnected_part_count_mean,disconnected_part_count_sd,disconnected_part_count_min,disconnected_part_count_max,extra_component_count_mean,extra_component_count_sd,extra_component_count_min,extra_component_count_max,coarse_undirected_edges_mean,coarse_undirected_edges_sd,coarse_undirected_edges_min,coarse_undirected_edges_max,partition_seconds_mean,partition_seconds_sd,partition_seconds_min,partition_seconds_max,repair_seconds_mean,repair_seconds_sd,repair_seconds_min,repair_seconds_max,moved_unique_nodes_mean,moved_unique_nodes_sd,moved_unique_nodes_min,moved_unique_nodes_max,moved_fraction_mean,moved_fraction_sd,moved_fraction_min,moved_fraction_max,minimum_angle_deg_mean,minimum_angle_deg_sd,minimum_angle_deg_min,minimum_angle_deg_max,aspect_ratio_mean_mean,aspect_ratio_mean_sd,aspect_ratio_mean_min,aspect_ratio_mean_max,aspect_ratio_max_mean,aspect_ratio_max_sd,aspect_ratio_max_min,aspect_ratio_max_max,triangle_area_cv_mean,triangle_area_cv_sd,triangle_area_cv_min,triangle_area_cv_max,repair_sample_rate
development,41,wavy,parmetis_raw,25,754.28,118.42526475939724,542.0,916.0,1323.72,230.83643559888893,903.0,1640.0,2077.0,349.23678691302456,1444.0,2555.0,1.0185346022892805,0.007121876628598214,1.003690036900369,1.029966703662597,0.016012339093030504,0.0038304016867557584,0.010083100384708091,0.02507735575635746,280.88,23.163045280503745,243.0,317.0,0.24,0.5228129047119374,0.0,2.0,0.24,0.5228129047119374,0.0,2.0,32.88,1.0132456102380443,31.0,35.0,0.44504063421860335,0.004266107788224723,0.4386966801248491,0.4524683910422027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0066679474890134,0.6651550521976978,0.11165826317185142,2.6411090113616464,3.308493038227515,0.24313466590541405,2.9652318642733464,3.9712769450817196,115.10805830427142,114.28277585599982,22.30249502413425,513.9552779763004,0.9081806945350535,0.031401933334754294,0.8539303376709936,0.9737960566466891,
development,41,wavy,parmetis_repaired,25,754.28,118.42526475939724,542.0,916.0,1323.72,230.83643559888893,903.0,1640.0,2077.0,349.23678691302456,1444.0,2555.0,1.0649547624595008,0.1237899532917605,1.003690036900369,1.48471615720524,0.031691493890685186,0.042545073875563034,0.010083100384708091,0.17274040614953526,279.16,21.592205383733578,243.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.8660254037844387,31.0,34.0,0.44872956743463877,0.0044024416959343796,0.4415766759775579,0.45636022416874766,0.003688933216035366,0.0007374236174479225,0.0024071927182376385,0.0056826104409992695,2.8,7.516648189186455,0.0,27.0,0.0032168993413238638,0.008312796224056592,0.0,0.029867256637168143,1.0066679474890134,0.6651550521976978,0.11165826317185142,2.6411090113616464,3.308493038227515,0.24313466590541405,2.9652318642733464,3.9712769450817196,115.10805830427142,114.28277585599982,22.30249502413425,513.9552779763004,0.9081806945350535,0.031401933334754294,0.8539303376709936,0.9737960566466891,0.2
development,42,annulus,bfs_connected,10,705.0,118.01224041975006,543.0,919.0,1231.8,231.1069016710665,913.0,1654.0,1936.8,349.10514175531705,1456.0,2573.0,1.3645225419093203,0.12714583464428472,1.236255572065379,1.5942376950780313,0.23381260679552116,0.06782628558892088,0.13318325071998893,0.33004953677917964,369.8,45.650362052841984,297.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,1.3165611772087666,28.0,32.0,0.005383234331384301,0.0008164227795096559,0.004319232888519764,0.00668953126296401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0116706034051035,0.816465783530023,0.03751560885852933,2.170985956586211,3.559201518139267,0.6510029579138964,3.087084880973323,5.306027350102095,344.91119674821385,709.8226246453816,29.681511779977793,2339.0550914263213,0.9615727846983363,0.03473073883811982,0.9123311017427949,1.0182580924730258,
development,42,annulus,parmetis_raw,10,705.0,118.01224041975006,543.0,919.0,1231.8,231.1069016710665,913.0,1654.0,1936.8,349.10514175531705,1456.0,2573.0,1.0206943672071194,0.008001201937863982,1.0018416206261511,1.028006589785832,0.0140332531939447,0.0035620202140019715,0.007366482504604052,0.01903880995554501,257.5,25.373871075051465,218.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.632993161855452,25.0,29.0,0.4434430081862956,0.0034208464981354937,0.4399249916896224,0.44962297519668937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0116706034051035,0.816465783530023,0.03751560885852933,2.170985956586211,3.559201518139267,0.6510029579138964,3.087084880973323,5.306027350102095,344.91119674821385,709.8226246453816,29.681511779977793,2339.0550914263213,0.9615727846983363,0.03473073883811982,0.9123311017427949,1.0182580924730258,
development,42,annulus,parmetis_repaired,10,705.0,118.01224041975006,543.0,919.0,1231.8,231.1069016710665,913.0,1654.0,1936.8,349.10514175531705,1456.0,2573.0,1.0206943672071194,0.008001201937863982,1.0018416206261511,1.028006589785832,0.0140332531939447,0.0035620202140019715,0.007366482504604052,0.01903880995554501,257.5,25.373871075051465,218.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.632993161855452,25.0,29.0,0.4514077012427151,0.013472925494504268,0.44315889989957213,0.4880871130153537,0.007964693056419492,0.011711749596385879,0.00315354997292161,0.04114467604085803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0116706034051035,0.816465783530023,0.03751560885852933,2.170985956586211,3.559201518139267,0.6510029579138964,3.087084880973323,5.306027350102095,344.91119674821385,709.8226246453816,29.681511779977793,2339.0550914263213,0.9615727846983363,0.03473073883811982,0.9123311017427949,1.0182580924730258,0.0
development,42,l_shape,bfs_connected,10,778.8,108.66748465949794,585.0,924.0,1400.2,217.39814984391094,1013.0,1691.0,2178.0,326.0654331060971,1597.0,2614.0,1.2891806296646768,0.1336076860771494,1.1066822977725674,1.5771428571428572,0.1930418307224969,0.059976576168053075,0.10604527483841086,0.31323460595430214,390.2,47.837223999726405,305.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,0.5676462121975466,30.0,32.0,0.005816741660237312,0.0008338329086331169,0.004669304005801678,0.006985026877373457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444890584795667,0.5347480484538664,0.016106627705100702,1.6784745509119672,3.8772644244863343,0.8980005043762239,3.1028986304555786,6.203812136404687,972.3544118080943,1550.4689236673546,49.31912080065715,5201.335923078492,0.9175655410166265,0.027218416163428346,0.8491494397481382,0.945329883847065,
development,42,l_shape,parmetis_raw,10,778.8,108.66748465949794,585.0,924.0,1400.2,217.39814984391094,1013.0,1691.0,2178.0,326.0654331060971,1597.0,2614.0,1.0208619907539025,0.0064125151395856995,1.011965811965812,1.0285714285714285,0.01585784424714085,0.0037245975477124397,0.012767298639264537,0.02535733082677728,277.7,28.043814925140904,236.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,0.674948557710553,29.0,31.0,0.4429484930355102,0.004913901077641151,0.43627525586634874,0.4515937948599458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444890584795667,0.5347480484538664,0.016106627705100702,1.6784745509119672,3.8772644244863343,0.8980005043762239,3.1028986304555786,6.203812136404687,972.3544118080943,1550.4689236673546,49.31912080065715,5201.335923078492,0.9175655410166265,0.027218416163428346,0.8491494397481382,0.945329883847065,
development,42,l_shape,parmetis_repaired,10,778.8,108.66748465949794,585.0,924.0,1400.2,217.39814984391094,1013.0,1691.0,2178.0,326.0654331060971,1597.0,2614.0,1.0208619907539025,0.0064125151395856995,1.011965811965812,1.0285714285714285,0.01585784424714085,0.0037245975477124397,0.012767298639264537,0.02535733082677728,277.7,28.043814925140904,236.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,0.674948557710553,29.0,31.0,0.446918448805809,0.005513524896252456,0.4395227408967912,0.4577806540764868,0.0039699557702988384,0.0010468033211439756,0.0027177180163562298,0.006186859216541052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444890584795667,0.5347480484538664,0.016106627705100702,1.6784745509119672,3.8772644244863343,0.8980005043762239,3.1028986304555786,6.203812136404687,972.3544118080943,1550.4689236673546,49.31912080065715,5201.335923078492,0.9175655410166265,0.027218416163428346,0.8491494397481382,0.945329883847065,0.0
development,42,rectangle,bfs_connected,25,745.24,107.45475016644603,583.0,912.0,1332.44,214.9034822115888,1008.0,1666.0,2076.68,322.35820138473287,1590.0,2577.0,1.3656153033690592,0.09690200193422957,1.147982062780269,1.5691318327974277,0.23497630300394723,0.05464310015047271,0.13235514303327026,0.3297453162227069,401.72,48.24721062748948,331.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,0.7637626158259733,32.0,35.0,0.005696871541440487,0.0008489238097030134,0.004370891954749823,0.00730588473379612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7688116813975465,0.5396875358586158,0.10409039148289462,1.7719291425737593,3.3784302328107283,0.2556650741038818,3.151284376285892,4.177519783765557,163.92674070963142,153.94039397193,32.5261170025955,598.3023639464917,0.9249615357947113,0.029351719195710967,0.887811795825837,0.984578752434542,
development,42,rectangle,parmetis_raw,25,745.24,107.45475016644603,583.0,912.0,1332.44,214.9034822115888,1008.0,1666.0,2076.68,322.35820138473287,1590.0,2577.0,1.0176747939206634,0.007277439953221113,1.0033898305084745,1.0289389067524115,0.016193042360090497,0.004800539416998741,0.009262780353409807,0.024740371354068008,278.84,25.827440188037734,242.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.68,0.5567764362830022,32.0,34.0,0.44375708639621736,0.0035202222102472423,0.4388005849905312,0.4537740210071206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7688116813975465,0.5396875358586158,0.10409039148289462,1.7719291425737593,3.3784302328107283,0.2556650741038818,3.151284376285892,4.177519783765557,163.92674070963142,153.94039397193,32.5261170025955,598.3023639464917,0.9249615357947113,0.029351719195710967,0.887811795825837,0.984578752434542,
development,42,rectangle,parmetis_repaired,25,745.24,107.45475016644603,583.0,912.0,1332.44,214.9034822115888,1008.0,1666.0,2076.68,322.35820138473287,1590.0,2577.0,1.0176747939206634,0.007277439953221113,1.0033898305084745,1.0289389067524115,0.016193042360090497,0.004800539416998741,0.009262780353409807,0.024740371354068008,278.84,25.827440188037734,242.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.68,0.5567764362830022,32.0,34.0,0.44774775855243204,0.004084218830697961,0.44151521706953645,0.4580200552009046,0.003990672156214714,0.0009968677808138632,0.0026264959014952183,0.006660680286586285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7688116813975465,0.5396875358586158,0.10409039148289462,1.7719291425737593,3.3784302328107283,0.2556650741038818,3.151284376285892,4.177519783765557,163.92674070963142,153.94039397193,32.5261170025955,598.3023639464917,0.9249615357947113,0.029351719195710967,0.887811795825837,0.984578752434542,0.0
development,42,wavy,bfs_connected,25,765.56,114.73450512669092,541.0,915.0,1345.68,224.16469391944844,910.0,1637.0,2110.24,338.8763638851196,1450.0,2551.0,1.2968828804017256,0.09425453281259566,1.1566265060240963,1.5884476534296028,0.21490086221471993,0.05741585035265159,0.11807479536004183,0.33876078575042906,404.44,47.33927192793175,314.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.76,0.7788880963698616,31.0,34.0,0.007207875363528729,0.0067618667233487854,0.00404510460793972,0.03941189870238304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0875141109694946,0.6977972410907813,0.05413836080406451,2.825658931200245,3.2527476010991836,0.20411920194971822,3.0675064905962657,3.9766996796022096,126.64320765585481,212.56677294801887,20.296971029257588,1089.9636478918485,0.8966063132726163,0.0325236286358865,0.8231075632121628,0.9888089117555071,
development,42,wavy,parmetis_raw,25,765.56,114.73450512669092,541.0,915.0,1345.68,224.16469391944844,910.0,1637.0,2110.24,338.8763638851196,1450.0,2551.0,1.0163608212587272,0.005529880573495679,1.0055452865064696,1.024390243902439,0.01581089359808323,0.0044956032380615695,0.007048968523102558,0.02671817353683737,285.32,25.43737407831241,230.0,323.0,0.12,0.43969686527576396,0.0,2.0,0.12,0.43969686527576396,0.0,2.0,32.64,1.0360180178613367,31.0,34.0,0.4440612220019102,0.004252252289936279,0.43409193493425846,0.45191609067842364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0875141109694946,0.6977972410907813,0.05413836080406451,2.825658931200245,3.2527476010991836,0.20411920194971822,3.0675064905962657,3.9766996796022096,126.64320765585481,212.56677294801887,20.296971029257588,1089.9636478918485,0.8966063132726163,0.0325236286358865,0.8231075632121628,0.9888089117555071,
development,42,wavy,parmetis_repaired,25,765.56,114.73450512669092,541.0,915.0,1345.68,224.16469391944844,910.0,1637.0,2110.24,338.8763638851196,1450.0,2551.0,1.0443776770571132,0.09605440091403179,1.0055452865064696,1.3862815884476534,0.028036564633719646,0.04298233432879818,0.007048968523102558,0.20199408190957677,284.56,26.402462006411447,219.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.56,1.0033277962194942,31.0,34.0,0.44833502687513827,0.004955950003168085,0.4376687635667622,0.4597870227880776,0.004273804873228073,0.001507463767316266,0.002471690997481346,0.008700560312718153,1.84,6.472248450113762,0.0,27.0,0.0028574632627270335,0.010579876247954471,0.0,0.048736462093862815,1.0875141109694946,0.6977972410907813,0.05413836080406451,2.825658931200245,3.2527476010991836,0.20411920194971822,3.0675064905962657,3.9766996796022096,126.64320765585481,212.56677294801887,20.296971029257588,1089.9636478918485,0.8966063132726163,0.0325236286358865,0.8231075632121628,0.9888089117555071,0.08
development,43,annulus,bfs_connected,10,659.0,101.68688323585408,532.0,835.0,1141.5,198.32142821412137,905.0,1489.0,1800.5,299.9586082556503,1437.0,2324.0,1.5628428119760827,0.2163123603602753,1.245674740484429,1.9161676646706587,0.3235440374703237,0.08962850356143749,0.18190734094008099,0.4714561055693811,348.0,34.215006454283575,304.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,0.9944289260117531,29.0,32.0,0.008345148991793394,0.010698277533588641,0.004114001058042049,0.03873790521174669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3953314037490146,0.3003355040861499,0.03933532353135724,0.9582764386044864,3.6990415879196994,0.6308129615099627,3.134815810177366,5.254428990552046,450.2595301381063,618.4486606319199,60.252569512256386,2080.4102017411424,1.0033115452446306,0.02576472974936671,0.9694739212679762,1.049958798112424,
development,43,annulus,parmetis_raw,10,659.0,101.68688323585408,532.0,835.0,1141.5,198.32142821412137,905.0,1489.0,1800.5,299.9586082556503,1437.0,2324.0,1.0195918032202083,0.0076870042971696265,1.003690036900369,1.0284005979073243,0.01704230347014344,0.004577489106653204,0.010083100384708091,0.026515465262880063,248.7,20.774182695515766,216.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,1.4757295747452437,25.0,29.0,0.44349368824623525,0.0033304442085023136,0.43794159963727,0.4475087379105389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3953314037490146,0.3003355040861499,0.03933532353135724,0.9582764386044864,3.6990415879196994,0.6308129615099627,3.134815810177366,5.254428990552046,450.2595301381063,618.4486606319199,60.252569512256386,2080.4102017411424,1.0033115452446306,0.02576472974936671,0.9694739212679762,1.049958798112424,
